"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00014232","ttll-4","CSR",2266.163,2265.866,2219.06,2265.258,-1.011,0.95
"WBGene00001728","grl-19","unk",1.229,0,0,1.863,1.617,NA
"WBGene00044318","tag-267","CSR",430.269,449.857,420.985,442.024,-1.02,0.95
"WBGene00016996","D1005.2","unk",57.096,64.86,43.14,72.306,-1.056,0.95
"WBGene00022117","Y71F9AL.12","CSR",1705.006,1316.085,1438.534,1619.961,1.015,0.95
"WBGene00015324","C02B8.6","unk",177.581,192.988,204.677,155.224,-1.032,0.95
"WBGene00007857","C31H5.6","unk",311.595,477.492,396.399,375.478,-1.026,0.95
"WBGene00019844","abts-4","unk",287.304,314.001,293.024,323.344,1.024,0.95
"WBGene00044792","F59C6.14","WAGO",33.977,33.223,34.192,28.504,-1.072,0.95
"WBGene00016239","C30A5.4","ALG",0,1.773,0,2.721,1.497,NA
"WBGene00014107","ZK856.6","unk",8.668,9.729,7.021,9.104,-1.142,0.95
"WBGene00001463","flp-20","unk",25.76,23.45,24.038,29.053,1.081,0.95
"WBGene00007990","fipr-23","unk",1.235,13.198,7.018,5.508,-1.177,0.95
"WBGene00003082","lsm-8","CSR",1160.81,1021.768,1096.147,1114.349,1.014,0.95
"WBGene00011231","R11A5.3","WAGO",155.834,179.109,148.413,176.373,-1.033,0.95
"WBGene00013742","sas-1","unk",1702.572,1824.955,1762.993,1807.963,1.012,0.95
"WBGene00012242","srt-39","unk",3.346,1.942,0,4.062,-1.311,NA
"WBGene00017680","F21F8.6","unk",12.387,2.655,7.021,10.004,1.156,0.95
"WBGene00003184","mei-2","CSR",3367.301,3316.945,3241.29,3378.646,-1.009,0.95
"WBGene00011158","chil-16","unk",0,1.774,0,2.719,1.495,NA
"WBGene00015759","C14C6.5","unk",343.024,471.039,387.75,410.407,-1.023,0.95
"WBGene00194981","Y49E10.30","ERGO",9.619,13.379,17.972,7.969,1.122,0.95
"WBGene00013403","fbxb-100","WAGO",27.228,27.389,25.072,25.532,-1.079,0.95
"WBGene00018845","F54H12.5","unk",306.188,309.309,289.895,311.238,-1.024,0.95
"WBGene00045402","Y75B12B.13","unk",0,1.637,0.997,0,-1.663,NA
"WBGene00022298","Y76B12C.4","ALG",6.791,11.208,8.443,7.469,-1.143,0.95
"WBGene00022453","ncap-1","CSR",482.59,505.204,490.581,479.441,-1.019,0.95
"WBGene00018863","F55A12.2","CSR",579.909,329.055,426.263,448.813,-1.027,0.95
"WBGene00020555","nhr-219","unk",1.24,3.547,1.003,2.72,-1.298,NA
"WBGene00001729","grl-20","unk",1.234,0.879,3.008,0,1.423,NA
"WBGene00206528","Y53H1A.7","unk",0,10.552,2.005,11.026,1.21,0.95
"WBGene00019445","frpr-12","unk",2.48,7.096,7.022,4.531,1.185,0.95
"WBGene00045183","T28C6.10","unk",4.958,13.289,11.034,9.987,1.135,0.95
"WBGene00003659","nhr-69","unk",256.719,329.983,323.016,280.904,1.026,0.95
"WBGene00015311","C01G5.9","unk",28.536,31.071,25.08,38.916,1.074,0.95
"WBGene00015036","sre-5","unk",1.24,3.545,1.003,2.722,-1.297,NA
"WBGene00020599","T20B6.3","unk",2.473,7.94,7.02,1.828,-1.2,0.95
"WBGene00016236","heri-1","CSR",1673.722,1461.999,1508.098,1583.648,-1.013,0.95
"WBGene00016905","ztf-3","CSR",417.533,436.862,410.987,426.743,-1.02,0.95
"WBGene00006934","vps-54","CSR",3723.369,3658.773,3652.826,3795.088,1.009,0.95
"WBGene00011192","srh-24","unk",3.712,0,2.006,2.737,1.323,NA
"WBGene00004705","rsp-8","ALG",824.167,830.956,813.489,817.228,-1.015,0.95
"WBGene00010680","K08F4.12","unk",4.897,9.518,4.005,8.486,-1.163,0.95
"WBGene00010615","ate-1","CSR",1774.386,1631.096,1682.923,1759.372,1.012,0.95
"WBGene00007997","sre-13","unk",3.718,1.771,4.012,2.725,1.242,0.95
"WBGene00004779","ser-4","unk",33.505,30.196,33.107,26.229,-1.073,0.95
"WBGene00020166","T02G5.7","CSR",3514.266,3393.95,3325.408,3647.663,1.01,0.95
"WBGene00021983","npr-5","unk",112.371,97.041,100.448,100.504,-1.04,0.95
"WBGene00015292","C01C4.2","unk",0,1.777,0,2.711,1.488,NA
"WBGene00015023","B0205.9","CSR",2357.081,2167.521,2187.249,2284.735,-1.011,0.95
"WBGene00043984","C56E6.7","unk",2.399,1.665,2.994,0,-1.35,NA
"WBGene00016933","C54G7.1","unk",1.236,0.882,3.008,0,1.419,NA
"WBGene00044779","T10H9.8","unk",75.07,113.606,85.177,96.502,-1.044,0.95
"WBGene00195081","C04F6.7","unk",0,2.668,1.003,0.903,-1.438,NA
"WBGene00044441","Y119C1B.11","unk",0,1.63,0.997,0,-1.652,NA
"WBGene00010272","amph-1","CSR",812.658,870.626,782.328,875.878,-1.016,0.95
"WBGene00011264","R13H4.6","unk",0,1.505,2.44,0,1.521,NA
"WBGene00043302","F32D8.11","unk",223.008,267.142,260.261,244.212,1.026,0.95
"WBGene00019320","K02E10.6","unk",30.814,27.171,26.06,36.017,1.074,0.951
"WBGene00219582","anr-25","unk",0,6.086,3.005,1.871,-1.282,0.951
"WBGene00001907","his-33","histone",418.679,550.184,659.205,0,-1.47,0.951
"WBGene00013417","srab-24","unk",0,2.653,1.003,2.732,1.366,NA
"WBGene00000235","baf-1","CSR",1623.917,1515.209,1493.682,1605.063,-1.012,0.951
"WBGene00006109","str-44","unk",1.238,0.884,3.009,0,1.416,NA
"WBGene00000169","aqp-1","unk",289.84,366.893,293.771,348.801,-1.024,0.951
"WBGene00015525","rha-2","CSR",1440.54,1380.547,1457.124,1328.476,-1.013,0.951
"WBGene00006164","str-113","unk",0,0,0.647,0,1.757,NA
"WBGene00022452","Y110A2AR.1","unk",2259.203,2158.113,2194.541,2175.156,-1.01,0.951
"WBGene00013843","fbxa-49","unk",2.475,3.532,3.009,1.825,-1.252,0.951
"WBGene00018325","F42A6.3","unk",6.214,4.454,7.024,5.401,1.17,0.951
"WBGene00009239","irld-6","ALG",17.387,29.352,17.057,26.167,-1.087,0.951
"WBGene00018292","F41E6.11","unk",3.715,2.654,5.015,0,-1.275,0.951
"WBGene00206529","C04A2.15","unk",4.885,8.611,6.005,5.701,-1.163,0.951
"WBGene00016246","daf-37","ALG",11.171,31.984,20.065,19.886,-1.094,0.951
"WBGene00271577","B0244.16","unk",0,2.655,1.003,2.729,1.364,NA
"WBGene00022263","Y73C8C.4","unk",4.957,4.428,6.018,1.817,-1.202,0.951
"WBGene00021456","rfip-2","ALG",345.162,301.958,347.441,313.62,1.023,0.951
"WBGene00004453","rpl-39","unk",10450.894,8993.997,10180.005,9438.313,1.009,0.951
"WBGene00006597","tor-1","unk",1.284,15.421,3.117,16.622,1.161,0.951
"WBGene00000905","daf-9","unk",15.249,21.843,16.169,24.545,1.092,0.951
"WBGene00009349","F32H5.3","unk",14.263,19.513,15.601,15.256,-1.1,0.951
"WBGene00020804","T25E4.2","unk",1.24,0.887,3.01,0,1.412,NA
"WBGene00001735","grl-26","unk",2.463,3.499,2.004,2.779,-1.252,0.951
"WBGene00020880","T28A11.18","unk",0,2.653,0,1.821,-1.478,NA
"WBGene00017408","sdz-11","unk",24.752,17.669,13.037,25.535,-1.092,0.951
"WBGene00021970","srz-64","WAGO",0,2.653,0,1.821,-1.477,NA
"WBGene00008997","lgc-31","unk",53.415,61.024,63.535,45.682,-1.054,0.951
"WBGene00021092","fbxb-34","unk",19.835,19.501,20.062,22.68,1.087,0.951
"WBGene00006324","sup-17","CSR",5184.443,4921.945,5036.381,4982.468,-1.008,0.951
"WBGene00006394","taf-11.2","CSR",1105.774,980.774,1089.209,1024.281,1.014,0.951
"WBGene00008368","D1053.3","unk",52.813,41.777,36.013,63.642,1.06,0.951
"WBGene00022809","ZK697.14","unk",1.235,0,0,1.838,1.588,NA
"WBGene00044452","Y102E9.5","unk",86.732,77.746,87.085,84.183,1.043,0.951
"WBGene00022678","sar-1","ALG",2138.936,1921.645,2012.985,1999.025,-1.011,0.951
