"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00008078","WAGO",229.272,-1.975,0,"WBGene00008078","WAGO",316.132,-0.194,0.607
"WBGene00008079","unk",18.927,0.858,0.383,"WBGene00008079","unk",27.412,2.214,0.012
"WBGene00008080","CSR",109.409,0.104,0.83,"WBGene00008080","CSR",1078.592,0.012,0.97
"WBGene00008081","CSR",799.894,0.381,0.029,"WBGene00008081","CSR",1875.685,-0.134,0.406
"WBGene00008082","CSR",363.832,0.122,0.652,"WBGene00008082","CSR",1491.029,-0.007,0.981
"WBGene00008085","CSR",47.136,-0.595,0.338,"WBGene00008085","CSR",500.161,0.017,0.969
"WBGene00008086","WAGO",10593.04,-7.087,0,"WBGene00008086","WAGO",80.096,-0.545,0.461
"WBGene00008089","unk",2.414,0.497,0.87,"WBGene00008089","unk",276.896,-0.185,0.701
"WBGene00008091","unk",41.086,-0.116,0.881,"WBGene00008091","unk",104.111,0.023,0.981
"WBGene00008092","unk",3.499,2.903,0.232,"WBGene00008092","unk",2.865,4.893,0.169
"WBGene00008093","unk",11.733,-2.493,0.042,"WBGene00008093","unk",27.972,-0.799,0.472
"WBGene00008094","unk",125.031,-0.581,0.115,"WBGene00008094","unk",810.736,-0.347,0.053
"WBGene00008099","unk",52.374,1.053,0.054,"WBGene00008099","unk",211.276,0.521,0.133
"WBGene00008100","unk",9.241,1.363,0.332,"WBGene00008100","unk",277.073,0.042,0.939
"WBGene00008101","unk",8.155,0.914,0.541,"WBGene00008101","unk",127.724,0.333,0.549
"WBGene00008105","unk",5.24,2.104,0.283,"WBGene00008105","unk",83.025,1.456,0.002
"WBGene00008107","CSR",3199.885,0.363,0.004,"WBGene00008107","CSR",5184.981,-0.248,0.009
"WBGene00008110","WAGO",473.883,-1.506,0,"WBGene00008110","WAGO",1592.383,0.95,0
"WBGene00008111","WAGO",4739.654,-2.593,0,"WBGene00008111","WAGO",32.669,3.458,0
"WBGene00008114","unk",3.165,-0.425,0.884,"WBGene00008114","unk",9.327,0.285,0.923
"WBGene00008117","CSR",445.715,0.403,0.058,"WBGene00008117","CSR",5839.197,-0.094,0.447
"WBGene00008118","CSR",225.133,0.264,0.406,"WBGene00008118","CSR",774.303,-0.096,0.74
"WBGene00008119","unk",822.237,-1.227,0,"WBGene00008119","unk",2042.993,-0.099,0.585
"WBGene00008120","unk",400.298,-0.774,0,"WBGene00008120","unk",1229.376,-0.073,0.764
"WBGene00008121","unk",327.382,-4.289,0,"WBGene00008121","unk",83.686,-0.391,0.575
"WBGene00008123","unk",24.962,0.228,0.821,"WBGene00008123","unk",199.321,0.539,0.127
"WBGene00008124","ALG",1.904,4.662,0.157,"WBGene00008124","ALG",13.56,3.299,0.02
"WBGene00008127","unk",3.071,0.275,0.922,"WBGene00008127","unk",65.903,-0.199,0.861
"WBGene00008128","unk",5.704,-0.365,0.859,"WBGene00008128","unk",4.455,-0.719,0.859
"WBGene00008130","WAGO",88.464,-3.194,0,"WBGene00008130","WAGO",161.404,0.384,0.415
"WBGene00008131","CSR",335.413,1.215,0,"WBGene00008131","CSR",1298.332,0.156,0.402
"WBGene00008132","CSR",849.976,-1.236,0,"WBGene00008132","CSR",1818.21,-0.161,0.301
"WBGene00008133","WAGO",327.979,-2.335,0,"WBGene00008133","WAGO",351.736,-0.007,0.99
"WBGene00008134","unk",219.172,-0.905,0.001,"WBGene00008134","unk",277.487,-0.129,0.783
"WBGene00008137","ALG",10.251,5.625,0.004,"WBGene00008137","ALG",57.651,0.751,0.303
"WBGene00008138","WAGO",203.307,-6.387,0,"WBGene00008138","WAGO",51.034,-1.204,0.069
