"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00000419","CSR",790.137,0.23,0.205,"WBGene00000419","CSR",5897.443,-0.073,0.583
"WBGene00000420","CSR",144.926,-0.059,0.892,"WBGene00000420","CSR",1333.351,0.03,0.912
"WBGene00000421","unk",809.464,-0.085,0.686,"WBGene00000421","unk",7998.526,-0.05,0.731
"WBGene00000422","unk",110.396,-3.424,0,"WBGene00000422","unk",202.476,-0.452,0.219
"WBGene00000423","CSR",341.043,0.057,0.85,"WBGene00000423","CSR",1691.474,-0.067,0.76
"WBGene00000424","CSR",538.899,-0.061,0.817,"WBGene00000424","CSR",1015.591,0.078,0.76
"WBGene00000425","unk",3.759,-0.513,0.833,"WBGene00000425","unk",172.217,-0.749,0.037
"WBGene00000426","ALG",168.101,-0.242,0.489,"WBGene00000426","ALG",2570.215,0.063,0.727
"WBGene00000429","unk",17.375,-2.331,0.024,"WBGene00000429","unk",6.689,-1.051,0.691
"WBGene00000430","unk",9.635,-0.137,0.933,"WBGene00000430","unk",10.044,-1.125,0.57
"WBGene00000431","unk",3.734,0.354,0.886,"WBGene00000431","unk",41.182,-1.145,0.183
"WBGene00000433","unk",286.618,0.304,0.312,"WBGene00000433","unk",11.19,-3.991,0.014
"WBGene00000434","unk",16.355,-4.117,0.001,"WBGene00000434","unk",4.534,-0.841,0.819
"WBGene00000438","unk",2.172,-0.38,0.908,"WBGene00000438","unk",5.287,0.489,0.894
"WBGene00000439","unk",8.964,1.401,0.308,"WBGene00000439","unk",5.603,-0.165,0.965
"WBGene00000441","WAGO",22.905,1.528,0.059,"WBGene00000441","WAGO",222.093,-0.089,0.899
"WBGene00000442","unk",31.824,0.948,0.191,"WBGene00000442","unk",13.078,-1.607,0.281
"WBGene00000443","WAGO",2316.634,-4.938,0,"WBGene00000443","WAGO",590.389,0.5,0.015
"WBGene00000444","CSR",42.392,0.674,0.303,"WBGene00000444","CSR",461.452,-0.026,0.951
"WBGene00000448","unk",26.494,0.024,0.98,"WBGene00000448","unk",101.468,-1.867,0
"WBGene00000449","unk",14.764,2.479,0.016,"WBGene00000449","unk",31.741,-1.512,0.096
"WBGene00000452","unk",23.627,-7.732,0,"WBGene00000452","unk",11.651,-1.621,0.312
"WBGene00000453","unk",7.134,0.497,0.797,"WBGene00000453","unk",168.156,-1.25,0
"WBGene00000455","unk",2.69,-3.039,0.287,"WBGene00000455","unk",32.503,-1.098,0.261
"WBGene00000457","unk",1.93,1.167,0.738,"WBGene00000457","unk",23.08,-0.701,0.596
"WBGene00000458","unk",8.993,-0.375,0.81,"WBGene00000458","unk",77.106,-0.345,0.657
"WBGene00000459","CSR",293.838,-0.786,0.001,"WBGene00000459","CSR",2736.704,-0.112,0.471
"WBGene00000460","WAGO",578.551,-3.333,0,"WBGene00000460","WAGO",535.46,-0.19,0.516
"WBGene00000461","unk",14.343,-2.75,0.016,"WBGene00000461","unk",238.986,-0.347,0.378
"WBGene00000462","WAGO",121.648,-2.524,0,"WBGene00000462","WAGO",253.891,0.081,0.884
"WBGene00000463","WAGO",5135.509,3.396,0,"WBGene00000463","WAGO",167.409,-1.31,0
"WBGene00000464","CSR",52153.812,6.918,0,"WBGene00000464","CSR",2601.189,-0.222,0.063
"WBGene00000465","unk",1405.632,0.041,0.827,"WBGene00000465","unk",59654.167,0.043,0.734
"WBGene00000466","CSR",357.192,0.216,0.395,"WBGene00000466","CSR",2409.78,-0.216,0.078
"WBGene00000467","CSR",851.03,-0.326,0.061,"WBGene00000467","CSR",2492.662,-0.069,0.7
"WBGene00000468","unk",23.101,0.421,0.657,"WBGene00000468","unk",11.668,-2.792,0.134
"WBGene00000469","WAGO",789.508,-6.761,0,"WBGene00000469","WAGO",51.182,-2.166,0
"WBGene00000472","unk",481.749,-0.369,0.081,"WBGene00000472","unk",1128.505,0.225,0.223
"WBGene00000473","CSR",1246.247,0.616,0,"WBGene00000473","CSR",39087.692,-0.191,0.018
"WBGene00000474","CSR",794.77,0.878,0,"WBGene00000474","CSR",16962.009,-0.088,0.426
"WBGene00000475","ALG",121.409,0.649,0.082,"WBGene00000475","ALG",10495.982,0.141,0.125
"WBGene00000476","unk",12.265,0.615,0.624,"WBGene00000476","unk",104.879,-1.226,0.011
"WBGene00000477","unk",18.616,-0.614,0.55,"WBGene00000477","unk",113.457,-0.409,0.471
"WBGene00000478","unk",23.217,-2.851,0.002,"WBGene00000478","unk",113.629,-0.971,0.027
"WBGene00000479","CSR",2063.716,0.03,0.871,"WBGene00000479","CSR",10964.998,0.069,0.88
"WBGene00000480","unk",621.776,-1.212,0,"WBGene00000480","unk",1800.22,0.106,0.554
"WBGene00000481","WAGO",292.818,-6.92,0,"WBGene00000481","WAGO",55.593,-0.697,0.364
"WBGene00000482","CSR",107.074,0.01,0.984,"WBGene00000482","CSR",1941.744,-0.42,0.003
"WBGene00000484","unk",4.637,2.198,0.264,"WBGene00000484","unk",17.694,-3.06,0.008
"WBGene00000485","unk",27.719,-0.997,0.191,"WBGene00000485","unk",248.757,-0.413,0.242
"WBGene00000490","unk",1.962,-1.367,0.684,"WBGene00000490","unk",41.42,-1.612,0.038
"WBGene00000492","unk",14.712,-0.236,0.853,"WBGene00000492","unk",24.767,-0.869,0.478
"WBGene00000493","unk",16.292,-2.761,0.008,"WBGene00000493","unk",45.324,-0.561,0.548
"WBGene00000496","CSR",805.932,-0.635,0,"WBGene00000496","CSR",20602.649,-0.232,0.003
"WBGene00000497","WAGO",338.905,-3.081,0,"WBGene00000497","WAGO",218.315,-1.297,0
"WBGene00000498","CSR",1044.914,0.259,0.115,"WBGene00000498","CSR",2367.326,-0.09,0.591
"WBGene00000499","CSR",2500.406,0.795,0,"WBGene00000499","CSR",394.846,-0.127,0.737
"WBGene00000500","unk",699.454,-1.013,0,"WBGene00000500","unk",2284.78,0.057,0.777
"WBGene00000501","unk",8.915,-0.998,0.492,"WBGene00000501","unk",73.532,-0.748,0.223
"WBGene00000502","CSR",469.186,0.822,0,"WBGene00000502","CSR",1481.478,0.009,0.975
"WBGene00000503","unk",8.66,1.198,0.419,"WBGene00000503","unk",1181.889,-0.585,0
"WBGene00000506","unk",189.343,-0.27,0.466,"WBGene00000506","unk",673.048,-0.056,0.872
"WBGene00000507","CSR",289.77,0.773,0.001,"WBGene00000507","CSR",828.392,-0.084,0.76
"WBGene00000508","CSR",3219.218,0.76,0,"WBGene00000508","CSR",761.568,0.221,0.303
"WBGene00000509","CSR",128.761,0.119,0.783,"WBGene00000509","CSR",1750.466,0.096,0.613
"WBGene00000510","unk",6.211,-0.318,0.87,"WBGene00000510","unk",87.059,-0.458,0.498
"WBGene00000511","unk",8.266,-0.537,0.738,"WBGene00000511","unk",81.275,-0.263,0.759
"WBGene00000513","unk",2.735,-1.645,0.561,"WBGene00000513","unk",3.906,-1.177,0.742
"WBGene00000514","WAGO",1511.705,-5.934,0,"WBGene00000514","WAGO",267.811,0.187,0.657
"WBGene00000515","unk",15.854,-2.717,0.01,"WBGene00000515","unk",470,0.499,0.02
"WBGene00000516","unk",12.354,-2.867,0.02,"WBGene00000516","unk",29.512,-2.198,0.013
"WBGene00000517","CSR",962.621,0.549,0.001,"WBGene00000517","CSR",534.2,0.209,0.457
"WBGene00000518","WAGO",3055.017,-4.242,0,"WBGene00000518","WAGO",129.692,-0.364,0.512
"WBGene00000519","CSR",240.342,0.182,0.552,"WBGene00000519","CSR",1556.929,-0.05,0.832
"WBGene00000520","CSR",375.933,-0.324,0.162,"WBGene00000520","CSR",2152.515,-0.029,0.9
"WBGene00000521","unk",2.165,-2.534,0.424,"WBGene00000521","unk",6.211,-4.643,0.081
"WBGene00000523","unk",10.398,-3.955,0.013,"WBGene00000523","unk",57.195,-0.648,0.4
"WBGene00000525","unk",7.334,-1.246,0.49,"WBGene00000525","unk",8.083,0.878,0.73
"WBGene00000526","unk",1.892,-2.467,0.462,"WBGene00000526","unk",70.972,-1.182,0.044
"WBGene00000527","unk",36.495,-0.633,0.369,"WBGene00000527","unk",787.404,0.194,0.369
"WBGene00000528","unk",4.827,0.433,0.839,"WBGene00000528","unk",374.323,0.536,0.028
"WBGene00000529","unk",6.275,-0.277,0.888,"WBGene00000529","unk",51.718,-0.598,0.48
"WBGene00000530","CSR",326.74,0.071,0.817,"WBGene00000530","CSR",777.338,0.162,0.491
"WBGene00000531","unk",1.985,2.033,0.567,"WBGene00000531","unk",37.339,-0.283,0.823
"WBGene00000532","CSR",1060.666,0.045,0.832,"WBGene00000532","CSR",2098.543,-0.046,0.825
"WBGene00000533","unk",370.45,-0.513,0.029,"WBGene00000533","unk",1706.574,-0.016,0.951
"WBGene00000534","unk",277.474,-1.667,0,"WBGene00000534","unk",2278.424,0.174,0.193
"WBGene00000535","WAGO",63.878,-1.93,0,"WBGene00000535","WAGO",1241.88,0.878,0
"WBGene00000536","WAGO",112.556,-1.919,0,"WBGene00000536","WAGO",622.272,0.306,0.151
"WBGene00000537","CSR",300.542,-0.161,0.57,"WBGene00000537","CSR",2520.463,-0.024,0.915
"WBGene00000539","unk",3.977,-0.34,0.887,"WBGene00000539","unk",137.168,0.172,0.807
"WBGene00000540","unk",187.905,-1.384,0,"WBGene00000540","unk",385.281,-0.098,0.824
"WBGene00000542","CSR",916.636,-0.11,0.565,"WBGene00000542","CSR",1193.896,0.006,0.986
"WBGene00000543","unk",1923.159,-1.596,0,"WBGene00000543","unk",2012.119,0.233,0.072
"WBGene00000544","WAGO",79.648,-2.68,0,"WBGene00000544","WAGO",25.391,0.761,0.536
"WBGene00000545","WAGO",1131.141,-6.075,0,"WBGene00000545","WAGO",345.809,0.569,0.051
"WBGene00000546","WAGO",809.341,-3.366,0,"WBGene00000546","WAGO",30.388,1.807,0.033
"WBGene00000547","unk",1679.93,0.89,0,"WBGene00000547","unk",1300.537,-0.142,0.497
"WBGene00000548","CSR",477.835,0.32,0.131,"WBGene00000548","CSR",4475.477,-0.065,0.661
"WBGene00000549","CSR",14853.985,-0.075,0.583,"WBGene00000549","CSR",2816.694,0.031,0.883
"WBGene00000550","CSR",2416.596,1.275,0,"WBGene00000550","CSR",12859.492,-0.132,0.148
"WBGene00000552","ALG",181.287,0.813,0.006,"WBGene00000552","ALG",1986.863,-0.062,0.76
"WBGene00000553","unk",106.662,0.94,0.012,"WBGene00000553","unk",45.949,-1.302,0.061
"WBGene00000554","WAGO",586.12,-6.324,0,"WBGene00000554","WAGO",425.346,-0.254,0.38
"WBGene00000561","unk",2.586,-0.32,0.916,"WBGene00000561","unk",12.076,-0.528,0.807
"WBGene00000562","unk",63.429,1.198,0.012,"WBGene00000562","unk",46.248,0.249,0.828
"WBGene00000563","unk",52.047,0.25,0.709,"WBGene00000563","unk",7.577,0.118,0.972
"WBGene00000564","CSR",297.599,-0.475,0.057,"WBGene00000564","CSR",873.638,-0.091,0.738
"WBGene00000565","CSR",447.649,-0.312,0.167,"WBGene00000565","CSR",620.078,-0.278,0.213
"WBGene00000566","CSR",786.152,0.271,0.131,"WBGene00000566","CSR",2410.681,-0.043,0.841
"WBGene00000567","ALG",559.498,0.086,0.729,"WBGene00000567","ALG",7344.655,-0.168,0.067
"WBGene00000584","unk",5.536,2.161,0.211,"WBGene00000584","unk",7.48,-0.045,0.99
"WBGene00000585","CSR",220.511,-0.088,0.799,"WBGene00000585","CSR",3062.299,-0.112,0.479
"WBGene00000591","unk",108.592,-0.171,0.72,"WBGene00000591","unk",468.099,-0.668,0.03
"WBGene00000592","CSR",1033.652,0.486,0.002,"WBGene00000592","CSR",1452.616,-0.14,0.429
"WBGene00000593","unk",40.813,1.207,0.054,"WBGene00000593","unk",3.365,-0.078,0.988
"WBGene00000594","unk",35.48,1.276,0.048,"WBGene00000594","unk",646.916,-1.685,0
"WBGene00000596","unk",5.593,0.825,0.657,"WBGene00000596","unk",28.779,2.041,0.018
"WBGene00000597","unk",18.658,1.765,0.051,"WBGene00000597","unk",19969.985,1.025,0
"WBGene00000599","unk",5.813,1.411,0.435,"WBGene00000599","unk",1613.766,-2.27,0
"WBGene00000601","unk",6.718,1.235,0.45,"WBGene00000601","unk",387.027,0.2,0.578
"WBGene00000602","unk",11.549,2.062,0.075,"WBGene00000602","unk",181.259,1.835,0
"WBGene00000606","unk",5.234,0.692,0.728,"WBGene00000606","unk",111.829,-0.296,0.732
"WBGene00000608","unk",10.205,1.537,0.253,"WBGene00000608","unk",15619.866,0.824,0
"WBGene00000609","unk",76.679,1.676,0,"WBGene00000609","unk",20539.045,1.024,0
"WBGene00000610","unk",9.169,1.168,0.395,"WBGene00000610","unk",7.235,-1.715,0.451
"WBGene00000611","unk",54.259,2.583,0,"WBGene00000611","unk",62.638,0.094,0.937
"WBGene00000615","WAGO",4314.463,3.162,0,"WBGene00000615","WAGO",159.949,2.342,0
"WBGene00000616","unk",12.056,1.44,0.228,"WBGene00000616","unk",350.473,-1.394,0
"WBGene00000618","unk",3.842,1.92,0.371,"WBGene00000618","unk",33.102,-1.786,0.094
"WBGene00000620","unk",20.36,1.292,0.137,"WBGene00000620","unk",36.912,1.856,0.028
"WBGene00000622","WAGO",1160.971,2.057,0,"WBGene00000622","WAGO",15.753,1.106,0.479
"WBGene00000623","unk",14.965,-0.993,0.36,"WBGene00000623","unk",6.856,-0.355,0.915
"WBGene00000625","unk",5.265,0.675,0.731,"WBGene00000625","unk",127.495,-1.452,0
"WBGene00000626","unk",4.117,-0.24,0.921,"WBGene00000626","unk",55.508,6.153,0
"WBGene00000630","unk",12.832,-0.582,0.653,"WBGene00000630","unk",28.785,0.534,0.67
"WBGene00000631","unk",14.266,-0.43,0.726,"WBGene00000631","unk",15.887,-2.053,0.1
"WBGene00000636","WAGO",215.505,-4.572,0,"WBGene00000636","WAGO",46.28,3.009,0
"WBGene00000638","unk",3.415,0.533,0.833,"WBGene00000638","unk",84.154,1.919,0.001
"WBGene00000639","unk",8.086,-0.481,0.768,"WBGene00000639","unk",75.484,4.093,0
"WBGene00000640","unk",12.043,-2.353,0.082,"WBGene00000640","unk",24.726,0.142,0.941
"WBGene00000641","unk",11.418,1.333,0.261,"WBGene00000641","unk",142.557,-2.599,0
"WBGene00000644","unk",23.942,0.605,0.49,"WBGene00000644","unk",29.686,-0.267,0.87
"WBGene00000647","WAGO",20327.065,2.271,0,"WBGene00000647","WAGO",71.501,2.378,0
"WBGene00000649","unk",5.304,0.957,0.614,"WBGene00000649","unk",146.32,1.997,0.126
"WBGene00000650","unk",67.061,0.055,0.931,"WBGene00000650","unk",719.386,-6.626,0
"WBGene00000652","unk",12.759,-1.68,0.163,"WBGene00000652","unk",242.483,-0.508,0.158
"WBGene00000653","unk",4.67,0.9,0.657,"WBGene00000653","unk",263.959,-0.014,0.981
"WBGene00000656","unk",34.347,1.08,0.109,"WBGene00000656","unk",8233.104,1.124,0
"WBGene00000657","unk",15.1,0.983,0.372,"WBGene00000657","unk",620.78,2.699,0
"WBGene00000658","unk",14.794,0.85,0.433,"WBGene00000658","unk",20.804,3.39,0.002
"WBGene00000660","unk",44.029,0.053,0.945,"WBGene00000660","unk",3.124,1.814,0.659
"WBGene00000661","unk",10.514,0.922,0.479,"WBGene00000661","unk",7.418,0.453,0.884
"WBGene00000663","unk",11.571,-4.188,0.006,"WBGene00000663","unk",48.966,2.827,0
"WBGene00000664","unk",12.538,-0.657,0.624,"WBGene00000664","unk",30.102,-0.929,0.389
"WBGene00000665","unk",185.184,1.587,0,"WBGene00000665","unk",83.914,-0.402,0.699
"WBGene00000666","unk",2.952,2.66,0.285,"WBGene00000666","unk",40.225,0.061,0.966
"WBGene00000667","unk",20.238,0.772,0.412,"WBGene00000667","unk",648.914,1.906,0
"WBGene00000668","unk",17.494,1.067,0.295,"WBGene00000668","unk",19785.368,1.232,0
"WBGene00000669","unk",20.082,0.886,0.345,"WBGene00000669","unk",3496.171,0.484,0
"WBGene00000670","unk",49.314,2.063,0,"WBGene00000670","unk",10696.743,0.423,0.191
"WBGene00000671","unk",32.444,1.399,0.04,"WBGene00000671","unk",248.438,0.968,0
"WBGene00000672","unk",143.599,-2.554,0,"WBGene00000672","unk",150.057,-1.047,0.004
"WBGene00000673","unk",19.459,1.099,0.254,"WBGene00000673","unk",5072.504,1.276,0
"WBGene00000674","unk",23.361,0.197,0.844,"WBGene00000674","unk",34.854,-0.888,0.342
"WBGene00000675","unk",16.971,0.915,0.369,"WBGene00000675","unk",19233.6,0.765,0
"WBGene00000677","unk",169.868,1.79,0,"WBGene00000677","unk",2796.224,1.384,0
"WBGene00000678","unk",8.928,0.663,0.654,"WBGene00000678","unk",142.754,-1.077,0.004
"WBGene00000680","unk",11.48,1.35,0.259,"WBGene00000680","unk",15728.075,0.679,0
"WBGene00000681","unk",3.445,0.508,0.839,"WBGene00000681","unk",310.617,-2.521,0
"WBGene00000683","unk",11.044,1.283,0.3,"WBGene00000683","unk",128.4,-1.601,0
"WBGene00000684","unk",3.744,-3.555,0.159,"WBGene00000684","unk",13.115,1.555,0.339
"WBGene00000685","WAGO",18987.64,2.446,0,"WBGene00000685","WAGO",45.084,-0.117,0.928
"WBGene00000687","unk",3.595,-1.081,0.647,"WBGene00000687","unk",56.43,-0.483,0.572
"WBGene00000689","unk",6.001,0.163,0.936,"WBGene00000689","unk",25.971,-2.55,0.005
"WBGene00000691","unk",35.285,1.304,0.044,"WBGene00000691","unk",979.558,-2.183,0
"WBGene00000693","unk",63.318,1.816,0,"WBGene00000693","unk",41481.277,0.847,0
"WBGene00000694","unk",9.237,-0.945,0.522,"WBGene00000694","unk",38.54,2.453,0.001
"WBGene00000695","unk",14.271,-0.712,0.553,"WBGene00000695","unk",90.253,-4.397,0
"WBGene00000696","unk",40.14,1.487,0.013,"WBGene00000696","unk",28143.883,0.705,0
"WBGene00000698","unk",56.327,1.156,0.023,"WBGene00000698","unk",13421.337,1.462,0
"WBGene00000699","unk",28.921,1.416,0.049,"WBGene00000699","unk",185.828,-1.357,0
"WBGene00000700","unk",13.208,1.285,0.245,"WBGene00000700","unk",18.434,2.249,0.062
"WBGene00000702","unk",2.018,-4.184,0.191,"WBGene00000702","unk",8.536,-1.83,0.363
"WBGene00000703","unk",72.334,1.664,0,"WBGene00000703","unk",961.181,2.67,0
"WBGene00000704","unk",3.507,0.563,0.818,"WBGene00000704","unk",98.283,-1.837,0
"WBGene00000707","unk",24.575,1.406,0.074,"WBGene00000707","unk",143.564,2.761,0
"WBGene00000708","unk",3.616,0.58,0.813,"WBGene00000708","unk",203.111,-0.021,0.974
"WBGene00000710","unk",11.851,0.042,0.979,"WBGene00000710","unk",5.971,3.237,0.2
"WBGene00000712","unk",510.804,1.319,0,"WBGene00000712","unk",789.002,2.851,0
"WBGene00000713","unk",79.475,1.755,0,"WBGene00000713","unk",35957.913,0.937,0
"WBGene00000714","unk",4.446,0.002,0.999,"WBGene00000714","unk",14.496,1.576,0.283
"WBGene00000715","unk",6.193,1.769,0.283,"WBGene00000715","unk",1362.949,1.974,0
"WBGene00000716","unk",22.409,1.844,0.026,"WBGene00000716","unk",6585.802,1.011,0
"WBGene00000717","unk",6.766,1.25,0.456,"WBGene00000717","unk",1286.581,-1.734,0
"WBGene00000718","unk",2.366,1.515,0.587,"WBGene00000718","unk",19.951,1.887,0.09
"WBGene00000719","unk",3.312,0.779,0.752,"WBGene00000719","unk",59.61,2.149,0.001
"WBGene00000720","unk",6.66,1.853,0.246,"WBGene00000720","unk",727.003,-1.574,0
"WBGene00000722","unk",1.977,-1.381,0.683,"WBGene00000722","unk",102.74,0.432,0.494
"WBGene00000727","WAGO",655.277,1.791,0,"WBGene00000727","WAGO",59.149,0.167,0.88
"WBGene00000728","WAGO",613.388,1.806,0,"WBGene00000728","WAGO",364.734,0.512,0.067
"WBGene00000730","WAGO",2404.052,1.645,0,"WBGene00000730","WAGO",28.312,1.181,0.228
"WBGene00000731","unk",23.573,2.998,0,"WBGene00000731","unk",173.629,0.503,0.198
"WBGene00000732","unk",22.268,1.366,0.109,"WBGene00000732","unk",501.319,2.073,0
"WBGene00000733","unk",9.349,1.696,0.203,"WBGene00000733","unk",6622.874,1.084,0
"WBGene00000734","unk",81.72,0.257,0.609,"WBGene00000734","unk",76.125,3.478,0
"WBGene00000735","unk",162.036,0.206,0.573,"WBGene00000735","unk",65.232,3.964,0
"WBGene00000739","unk",9.389,1.547,0.254,"WBGene00000739","unk",573.14,-1.36,0
"WBGene00000740","unk",2.506,1.641,0.547,"WBGene00000740","unk",787.71,-1.869,0
"WBGene00000746","unk",2.635,-4.568,0.11,"WBGene00000746","unk",11.233,-0.989,0.609
"WBGene00000747","unk",4.156,2.057,0.324,"WBGene00000747","unk",14.067,-2.43,0.098
"WBGene00000748","unk",2.524,1.725,0.558,"WBGene00000748","unk",56.115,4.682,0
"WBGene00000751","unk",29.29,2.005,0.006,"WBGene00000751","unk",19653.14,0.994,0
"WBGene00000752","unk",17.753,1.353,0.186,"WBGene00000752","unk",5843.375,0.939,0
"WBGene00000753","unk",16.253,-3.344,0.003,"WBGene00000753","unk",46.926,0.461,0.642
"WBGene00000754","unk",23.189,1.19,0.148,"WBGene00000754","unk",30191.219,0.682,0
"WBGene00000757","unk",17.402,1.986,0.043,"WBGene00000757","unk",15891.236,0.687,0
"WBGene00000760","unk",7.936,-2.992,0.059,"WBGene00000760","unk",6.021,0.97,0.738
"WBGene00000761","CSR",513.612,0.919,0,"WBGene00000761","CSR",1148.269,0.09,0.706
"WBGene00000762","WAGO",61.575,-2.55,0,"WBGene00000762","WAGO",796.431,0.374,0.032
"WBGene00000763","CSR",1402.044,0.809,0,"WBGene00000763","CSR",498.136,-0.126,0.724
"WBGene00000764","CSR",151.206,0.708,0.044,"WBGene00000764","CSR",421.062,0.159,0.635
"WBGene00000765","CSR",667.815,1.192,0,"WBGene00000765","CSR",1511.513,0.07,0.748
"WBGene00000766","unk",101.19,0.07,0.891,"WBGene00000766","unk",647.446,0.355,0.083
"WBGene00000767","CSR",344.415,0.917,0,"WBGene00000767","CSR",3467.2,0.191,0.08
"WBGene00000768","unk",59.923,-1.981,0,"WBGene00000768","unk",233.265,0.044,0.944
"WBGene00000770","WAGO",503.175,-2.899,0,"WBGene00000770","WAGO",981.462,-0.003,0.991
"WBGene00000771","ALG",9.749,5.555,0.005,"WBGene00000771","ALG",29.703,3.636,0
"WBGene00000772","CSR",1728.418,0.369,0.008,"WBGene00000772","CSR",4411.322,0.094,0.553
"WBGene00000773","CSR",334.806,-0.494,0.049,"WBGene00000773","CSR",2347.687,-0.163,0.237
"WBGene00000774","CSR",461.102,0.572,0.007,"WBGene00000774","CSR",1429.409,0,0.999
"WBGene00000775","WAGO",669.886,-7.047,0,"WBGene00000775","WAGO",150.25,0.189,0.76
"WBGene00000776","unk",36.784,1.016,0.13,"WBGene00000776","unk",27550.674,0.421,0
"WBGene00000777","ALG",132.98,0.318,0.405,"WBGene00000777","ALG",4855.168,-0.082,0.552
"WBGene00000778","unk",4.048,-0.579,0.82,"WBGene00000778","unk",49.893,-1.302,0.071
"WBGene00000779","unk",11.224,0.243,0.868,"WBGene00000779","unk",1936.094,0.853,0
"WBGene00000780","WAGO",12763.625,0.901,0,"WBGene00000780","WAGO",432.317,0.641,0.014
"WBGene00000781","unk",27.74,1.365,0.066,"WBGene00000781","unk",8615.979,-0.045,0.845
"WBGene00000783","unk",176.988,0.39,0.232,"WBGene00000783","unk",469.564,-0.249,0.37
"WBGene00000784","unk",17.813,1.858,0.043,"WBGene00000784","unk",9315.532,0.295,0.003
"WBGene00000785","unk",25.797,0.954,0.231,"WBGene00000785","unk",6272.987,-0.184,0.105
"WBGene00000786","unk",56.04,1.189,0.033,"WBGene00000786","unk",19378.891,0.519,0
"WBGene00000787","WAGO",370.94,-2.557,0,"WBGene00000787","WAGO",1094.178,0.504,0
"WBGene00000788","ERGO",4.841,3.481,0.093,"WBGene00000788","ERGO",7349.857,0.779,0
"WBGene00000789","unk",25.716,0.713,0.4,"WBGene00000789","unk",1332.869,0.157,0.473
"WBGene00000792","unk",105.429,1.066,0.005,"WBGene00000792","unk",241.693,-0.627,0.067
"WBGene00000793","unk",198.166,0.163,0.638,"WBGene00000793","unk",700.586,-0.073,0.818
"WBGene00000794","CSR",173.91,-0.63,0.05,"WBGene00000794","CSR",2951.305,-0.204,0.097
"WBGene00000795","unk",128.953,-0.727,0.056,"WBGene00000795","unk",455.754,0.134,0.697
"WBGene00000796","CSR",783.897,-0.159,0.408,"WBGene00000796","CSR",4403.999,0.083,0.54
"WBGene00000797","unk",70.9,1.201,0.008,"WBGene00000797","unk",366.687,0.022,0.965
"WBGene00000798","CSR",602.192,0.667,0,"WBGene00000798","CSR",565.14,0.01,0.982
"WBGene00000799","unk",11.203,-3.594,0.013,"WBGene00000799","unk",254.804,0.235,0.558
"WBGene00000800","unk",1252.143,1.96,0,"WBGene00000800","unk",6959.047,0.082,0.496
